"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,104,"ISL","Iceland",1,"Austurland","Landsvæði","Region",NA,"Eastland"
2,104,"ISL","Iceland",2,"Hálshreppur","Landsvæði","Region",NA,"Norðurland eystra|Northland East"
3,104,"ISL","Iceland",3,"Höfuðborgarsvæði","Landsvæði","Region",NA,"Capital|Reykjavik and Reykjane"
4,104,"ISL","Iceland",4,"Norðurland vestra","Landsvæði","Region",NA,"Northland West"
5,104,"ISL","Iceland",5,"Suðurland","Landsvæði","Region",NA,"Southland|South"
6,104,"ISL","Iceland",6,"Suðurnes","Kaupstadir","Independent Town",NA,"Southern Peninsula"
7,104,"ISL","Iceland",7,"Vestfirðir","Landsvæði","Region",NA,"Western Fjords|Western Peninsula"
8,104,"ISL","Iceland",8,"Vesturland","Landsvæði","Region",NA,"Westland|West"
