,osm_id,name,type,width,geometry,Length,NAME_1
3,8079753,GÃ­gjukvÃ­sl,754.7647676969025,0,"LINESTRING (970696.0334100884 7125889.261347312, 970771.4623306969 7126104.484076171, 970902.7491447767 7126614.566458781)",1030.09421434988,Austurland
4,8079754,GÃ­gjukvÃ­sl,960.367944063682,0,"LINESTRING (970904.7932317954 7125621.904958627, 970955.8122229727 7125847.057641279, 971013.4538285257 7126000.75015597, 971187.3980668868 7126538.687519374)",960.367944063682,Austurland
20,22525473,EyvindarÃ¡,25113.16898485911,0,"LINESTRING (1084326.812400509 7300330.553799529, 1084548.735418293 7300231.299878257, 1084707.586374442 7300183.200365524, 1084744.4219703 7300182.415228138, 1084853.128377562 7300021.942967337, 1085007.766310499 7299930.548362419, 1085112.144443163 7299820.651728954, 1085175.534271823 7299710.613807872, 1085191.772217013 7299550.001993794, 1085109.713402193 7298459.517059676, 1085210.484048492 7297963.446485381, 1085294.585496323 7297791.93138885, 1085443.370806848 7297625.347418495, 1085636.167729764 7297525.112969597, 1085809.766777608 7297519.388399504, 1085887.262641032 7297461.330068295, 1086056.062040112 7297479.255433573, 1086087.980211561 7297362.70592468, 1086019.100418669 7297176.443453224, 1086027.349687984 7297055.080842548, 1086065.551273813 7296948.009144852, 1086085.33974271 7296949.680296298, 1086146.023941843 7296956.161988205, 1086275.168860332 7297048.056522602, 1086409.874667809 7296870.378063029, 1086523.888737671 7296754.097111263, 1086672.405975063 7296710.480899505, 1086727.574072766 7296237.590797848, 1086813.140230596 7296140.114898723, 1086917.438812788 7296112.105656991, 1086936.817954143 7295976.533585044, 1087000.199661867 7295907.370551169, 1087074.283889427 7295947.078950629, 1087069.335467634 7296011.724461137, 1087119.883933944 7296005.603728451, 1087312.581648648 7295987.395477552, 1087439.229352686 7295890.086601749, 1087506.253283945 7295682.11584808, 1087639.207204705 7295594.285690394, 1087939.772093072 7295450.318116088, 1088138.069471321 7295203.399559042, 1088241.97332061 7294855.095366024, 1088279.096399558 7294632.736680012, 1088425.129569266 7294440.777378109, 1088476.151379092 7294311.561564106, 1088460.6515327 7294226.270209006, 1088541.795210048 7294070.333918943, 1088577.324668839 7293855.793672002, 1088631.429475438 7293751.822828422, 1088556.265165368 7293555.762127809, 1088566.494336007 7293344.253605446, 1088649.118566129 7293221.423581208, 1088649.551749938 7293098.271441321, 1088620.002027256 7292960.78198703, 1088593.661870315 7292807.499488982, 1088669.828253306 7292272.431771786, 1088611.87365174 7292112.685250035, 1088617.119927281 7291965.809873819, 1088672.85256956 7291853.873563632, 1088809.207379787 7291750.146554121, 1089104.049576771 7291555.419510574, 1089189.951761164 7291416.741490779, 1089368.36266314 7291066.691396398, 1089449.154227484 7291033.836064124, 1089593.330390752 7290972.803363508, 1089666.377562673 7290897.248587951, 1089851.46584032 7290474.479304124, 1089768.337276516 7290276.558451473, 1089930.89013505 7289964.255349117, 1090011.716324088 7289931.40241624, 1090163.33544301 7289592.139663279, 1090228.51557094 7289514.936927745, 1090378.397728434 7289224.648748226, 1090398.064416629 7289047.622998774, 1090472.936232053 7288923.016148444, 1090614.169955687 7288836.636565363, 1090755.407284175 7288750.262387123, 1090878.084090175 7288553.104411217, 1090992.222851849 7288518.800820315, 1091193.707768881 7288420.040756978, 1091225.682052946 7288344.264449182, 1091235.697875745 7288214.590502945, 1091371.021199151 7288036.442320271, 1091499.394791619 7288013.287121989, 1091755.983957124 7288008.122082083, 1091942.057925478 7287823.872980013, 1092081.597490282 7287786.560184626, 1092161.249377452 7287679.334144493, 1092348.457645457 7287610.599638325, 1092437.480306347 7287538.23464566, 1092492.782210414 7287407.621995918, 1092523.996888551 7287304.034000732, 1092554.357268315 7287173.627483281, 1092710.501427633 7287058.477242239, 1092981.955868745 7286945.622291617, 1093166.185575299 7286839.11054509, 1093332.786643184 7286790.875833838, 1093531.626441937 7286625.663789909, 1093841.320325617 7286483.196690947, 1094060.718634507 7286338.679076368, 1094223.92646781 7286347.445281569, 1094505.878619625 7286059.19893956, 1094824.027730753 7285514.574551823, 1095350.51064536 7284559.103819164, 1095580.348525132 7283963.021104272, 1095584.225163165 7283823.592575604, 1095698.043760163 7283591.261141046, 1096056.851640552 7282930.705020729, 1096091.097040553 7282442.599346048, 1096306.072935568 7281999.816501888, 1096448.01910883 7281872.167874874, 1096464.733400621 7281710.496588387)",25113.16898485911,Austurland
21,22526728,JÃ¶kulsÃ¡ Ã¡ BrÃº,137671.26536031737,0,"LINESTRING (1026436.560004079 7231225.808143562, 1026521.835977421 7231934.545600321, 1026406.797849177 7232637.64825254, 1026171.758735818 7233449.822318258, 1026033.182927707 7234228.694924342, 1025958.938264018 7234928.457045635, 1025886.2142557 7235788.923396395, 1025860.234716303 7236386.505040132, 1025829.044376419 7237013.147473815, 1025992.672661031 7237566.306535451, 1026128.987008263 7237872.377914411, 1026217.569954737 7238120.213119907, 1026240.923793411 7238314.975938899, 1026384.97855322 7238763.24847382, 1026429.006932949 7239027.951709452, 1026415.874249866 7239241.009668459, 1026369.718073418 7239406.737977603, 1026248.128397471 7239716.375889768, 1026170.479548914 7240058.67242065, 1026167.702123695 7240306.620457883, 1026193.6386615 7240625.916216705, 1026205.487176317 7240884.72344647, 1026072.167218214 7241167.263285034, 1025998.202189594 7241303.084282032, 1025995.100856744 7241459.81934253, 1025860.689585052 7242677.299828419, 1025896.292821798 7242849.146380354, 1025933.321234411 7243012.968187175, 1025863.989900702 7243215.700028932, 1025728.459242047 7243464.51254908, 1025633.638778883 7243670.942367519, 1025548.106935829 7244242.930383942, 1025451.076042067 7244647.374767886, 1025378.623836347 7244775.011847835, 1025333.655945895 7244841.410863621, 1025337.705313284 7244957.882273002, 1025413.081528175 7245045.761156098, 1025496.476302166 7245135.051867239, 1025539.193430978 7245266.699459285, 1025547.263202356 7245499.631580604, 1025584.247611013 7245663.302612342, 1025681.095216999 7245862.467434812, 1025872.157621894 7246136.331798058, 1025995.889878954 7246323.758631465, 1026055.17228839 7246408.75467625, 1026122.188122494 7246404.210947464, 1026217.838360339 7246470.905876702, 1026286.252998151 7246689.77369494, 1026375.577823846 7246837.990120406, 1026490.959325708 7246933.029090174, 1026576.547815982 7247055.786942251, 1026630.323613367 7247263.746870965, 1026883.051367459 7247515.611900002, 1027189.454544863 7247975.415760333, 1027275.214142144 7248189.093079013, 1027272.81013088 7248386.936787404, 1027331.174747973 7248430.456893785, 1027402.089601746 7248542.319090828, 1027417.739284682 7248685.564676416, 1027477.75726421 7248811.983549343, 1027572.692703419 7248928.153703105, 1027565.124071338 7249108.510961769, 1027561.250176561 7249314.3114346, 1027547.100524319 7249485.216429041, 1027517.761076833 7249694.670627168, 1027547.360851923 7249898.17798117, 1027647.191560715 7250262.925692896, 1027761.364491313 7250547.648702716, 1027889.071505406 7250710.957045909, 1028031.957349128 7250835.724765889, 1028105.220435526 7251071.804990087, 1028310.874403566 7251306.918560278, 1028414.498246002 7251465.907146662, 1028515.86277266 7251591.463803966, 1028691.509452143 7251763.413236581, 1028743.550133322 7251979.137891814, 1028792.065940112 7252260.249769825, 1028709.331154108 7252765.234776688, 1028741.980052117 7253134.169323654, 1028795.082718147 7253572.75884682, 1028855.70241216 7253740.42250501, 1028985.925309717 7253796.906560092, 1029031.829807136 7253862.92445435, 1029091.270258166 7254220.099787023, 1029139.675583958 7254501.016491811, 1029249.018011521 7254718.686290315, 1029423.750516786 7254939.922659946, 1029700.286681909 7255237.278363203, 1030031.184929754 7255462.019117814, 1030278.241476307 7255465.477823922, 1030401.327530676 7255743.381097486, 1030416.052628215 7255935.693072848, 1030628.543817186 7256312.210155101, 1030842.346519667 7256590.023154655, 1031045.225861568 7256882.349201741, 1031480.664905575 7257530.095053993, 1032021.951609551 7258320.693440978, 1032276.901696369 7258869.695878623, 1032356.091013789 7259386.682820803, 1032393.153694283 7261040.693626053, 1032492.49457924 7261536.332890813, 1032811.422078018 7262409.418394303, 1032875.833675243 7262824.456406412, 1033148.313903894 7265843.888568197, 1033219.074839093 7266177.477361829, 1033392.520841426 7266669.571437953, 1033647.137105286 7266987.410166185, 1035080.555441599 7268236.370413462, 1035264.162150065 7268401.568258878, 1035411.533131121 7268584.779172721, 1035538.074528062 7268657.329798508, 1035650.810644617 7268760.224931384, 1035845.392786956 7268820.642614366, 1035985.561010943 7268953.239978723, 1036217.474101842 7269168.466174008, 1036421.269705311 7269312.788356978, 1036845.741248537 7269464.908479435, 1037011.366803775 7269503.648461979, 1037140.142828227 7269519.160538126, 1037257.400634106 7269507.909634427, 1037636.179412951 7269684.599547298, 1037792.991521257 7269771.064417906, 1037940.999254263 7269905.206748435, 1038249.573387396 7270060.808040344, 1038424.346245789 7270183.492072118, 1038524.57649914 7270308.843866033, 1038553.822965516 7270462.148418834, 1038614.267382662 7270580.139548897, 1038796.348239531 7270663.111715438, 1038955.15905608 7270782.875781213, 1039032.357752748 7270854.672335012, 1039179.658674932 7270947.661966353, 1039377.016377607 7270992.431349188, 1039526.649287234 7271028.361446914, 1039978.196499016 7270988.799691658, 1040067.154042758 7270997.081952033, 1040350.206858424 7271156.405341531, 1040445.330317158 7271264.438716592, 1040572.252620208 7271378.379941132, 1040615.225010184 7271501.381151533, 1040604.007600839 7271606.108193334, 1040630.491524603 7271684.970332026, 1040778.612430809 7271728.906164981, 1040877.550186003 7271771.937543983, 1040966.732067023 7271911.736610936, 1041044.091776573 7272115.065279162, 1041085.553049983 7272245.991412353, 1041197.98557302 7272349.044727047, 1041354.588166485 7272435.665652421, 1041517.091524335 7272490.537890636, 1041654.826156874 7272590.107476326, 1041691.256300562 7272703.67379796, 1041786.281497066 7272811.709473261, 1042019.368502655 7272929.044485334, 1042142.651175127 7273017.715672757, 1042207.889069658 7273153.079801952, 1042275.146782744 7273321.670993241, 1042385.092692469 7273481.78279892, 1042482.476095495 7273532.799238932, 1042638.442726568 7273578.304795438, 1042747.270128795 7273656.099967902, 1042821.888187462 7273785.000019495, 1042881.009801874 7273820.678431158, 1043005.718663074 7273901.439171053, 1043104.15545678 7274034.785804903, 1043229.915501265 7274197.887278628, 1043403.326257557 7274369.87763298, 1043604.99777582 7274522.529617379, 1043769.376589018 7274610.749407498, 1043816.605696947 7274709.898847809, 1043849.948942008 7274839.304964393, 1043847.58819263 7275027.715773119, 1043870.016174304 7275171.491202547, 1043901.345982888 7275267.659805373, 1043989.745388069 7275366.303239183, 1044008.150135399 7275443.635086317, 1044072.789205774 7275669.169692545, 1044177.567058725 7275811.924603538, 1044228.236731022 7275936.337029428, 1044415.92753817 7276250.573659874, 1044690.893930019 7276581.157369712, 1044879.95120894 7276756.130219896, 1045202.925768948 7277005.493706394, 1045526.347640836 7277295.995103951, 1045600.247762706 7277383.739328061, 1045657.765336183 7277558.663156643, 1045692.955369266 7277721.18876108, 1045759.877507105 7277889.667830071, 1045854.580132023 7277997.72304894, 1046132.628367778 7278484.847746785, 1046257.005169822 7278696.938379626, 1046378.914032785 7278834.737644245, 1046524.134460101 7278935.900022535, 1046773.949346746 7279048.576413276, 1046871.091147064 7279099.692679483, 1046972.149869067 7279217.172831698, 1047067.693640094 7279407.448464187, 1047195.408910492 7279644.786756107, 1047287.358756028 7279941.002812056, 1047318.959735002 7280078.189449731, 1047365.503259495 7280136.168191634, 1047431.342863443 7280222.399735788, 1047488.210768757 7280356.151283322, 1047523.826122008 7280428.475707206, 1047719.351356962 7280654.00078914, 1047728.588090494 7280721.850135387, 1047714.136733212 7280800.105201957, 1047690.353249056 7280894.5274812, 1047690.214711299 7281025.68752149, 1047751.083241624 7281094.579513907, 1047826.30949477 7281174.381881516, 1047822.719771803 7281280.291258135, 1047737.486577166 7281731.488535765, 1047749.748602057 7281840.369974859, 1047925.252211655 7282127.648137522, 1047959.77210217 7282248.925342225, 1047776.299808587 7282828.9116743, 1047779.122655596 7282944.174734414, 1047841.275141539 7283136.192726687, 1047926.555381498 7283422.717760156, 1047961.049834407 7283543.93909217, 1047974.15790946 7283734.853756197, 1048016.562501265 7283857.573829705, 1048231.907889472 7284193.241229741, 1048330.14683693 7284367.47947963, 1048475.021408406 7284771.687837212, 1048580.064285662 7284996.347889265, 1048711.179784101 7285299.643249753, 1048725.70601475 7285482.559215019, 1048760.55074491 7285644.746587485, 1048821.703882603 7285754.608664775, 1048826.384659445 7285902.88251312, 1048786.338959188 7286157.294768717, 1048783.102908903 7286304.045209895, 1048744.736282492 7286722.456194939, 1048736.999485032 7286892.889945299, 1048777.968534549 7287195.323808569, 1048944.15291537 7288176.128567453, 1048939.11499015 7288461.544659372, 1048914.45173916 7288677.753682403, 1048792.334539169 7288932.710341546, 1048707.436152956 7289121.088073434, 1048697.093890888 7289348.13308173, 1048655.809754788 7289479.342791541, 1048615.083865263 7289823.259627345, 1048637.83585534 7290048.368047078, 1048689.878767365 7290205.439969304, 1048821.730382912 7290459.416976262, 1048854.544473282 7290588.294282698, 1048853.275571096 7290939.599639622, 1048957.278793577 7291253.651881712, 1048931.08633976 7291477.545281088, 1048915.390522661 7291646.204619619, 1048940.679307701 7291814.468664518, 1048893.586556547 7292320.356644285, 1048889.175885159 7292515.63311947, 1048917.053037023 7292627.150986138, 1048987.794297259 7292771.338714425, 1049058.524003528 7292915.51639802, 1049080.777647883 7293099.483978885, 1049530.476422729 7293830.440480202, 1049578.97855608 7293962.199782875, 1049573.736408148 7294075.556392531, 1049543.706230525 7294233.180442885, 1049582.41977793 7294330.394377107, 1049894.279544498 7294667.508984536, 1050041.541886987 7294752.760991532, 1050173.39710151 7294875.898662783, 1050203.058364584 7295020.382626097, 1050256.378596862 7295169.38283102, 1050331.11647015 7295248.97164736, 1050437.029253797 7295293.686457291, 1050588.399374736 7295314.423119334, 1050758.91745207 7295363.323228128, 1051132.557941922 7295589.869779075, 1051446.773236075 7295870.427304061, 1051656.918716433 7296139.255183194, 1051795.021759979 7296271.835384326, 1052104.732399804 7296404.628534873, 1052223.679128302 7296509.065285389, 1052275.016123875 7296625.04017463, 1052271.502580256 7296771.316240823, 1052287.946932781 7296856.104371779, 1052357.724567023 7296918.459753118, 1052477.484153827 7296933.253637147, 1052642.371190965 7296883.236502817, 1052746.365423659 7296895.02861301, 1052786.441142723 7296984.356524141, 1052861.726072981 7297145.747194287, 1052966.693691824 7297280.180604457, 1053066.464854835 7297356.47194942, 1053220.21965865 7297492.118144966, 1053324.925184679 7297797.919817306, 1053555.372717679 7298087.069594985, 1053773.352465608 7298398.309870902, 1053833.982552576 7298507.8981933, 1053949.450124462 7298587.24261693, 1054105.205621127 7298584.561665927, 1054193.997794358 7298675.109908029, 1054399.142648657 7298967.58124877, 1054516.393158842 7299079.928286521, 1054661.820589076 7299173.227429865, 1055149.562128447 7299397.819742532, 1055437.019404354 7299559.364383183, 1055636.300008404 7299712.065788464, 1055880.047702752 7299930.494046159, 1055986.571386752 7300097.946945662, 1056084.66190898 7300182.180572719, 1056254.593679938 7300190.550222638, 1056396.339321402 7300217.955410544, 1056590.432363345 7300312.605086595, 1056739.317168122 7300471.964013149, 1056904.460068498 7300716.060952694, 1056990.064834775 7300822.384520392, 1057106.642253638 7300853.117993774, 1057243.528811526 7300863.312636313, 1057356.800582288 7300868.938203434, 1057501.81269882 7300921.516754409, 1057669.420456589 7301068.228373039, 1057816.193830643 7301153.806092299, 1057920.059227119 7301165.791191651, 1058061.519147971 7301152.434365518, 1058308.131084498 7301102.383398095, 1058495.304983348 7301106.07940106, 1058656.045928875 7301161.774998141, 1058822.063646235 7301316.419008261, 1058939.543075182 7301510.594390107, 1059050.430078971 7301654.533404147, 1059189.280248521 7301738.6428342, 1059321.330055625 7301731.692159498, 1059537.766428294 7301626.924299614, 1059670.6916811 7301489.593843675, 1059767.986504841 7301451.413601791, 1060213.179929766 7301472.808145823, 1060495.656889364 7301658.418354251, 1060691.935180866 7301908.848939906, 1060804.677526258 7302126.682723247, 1060913.728557947 7302237.712390377, 1061106.067612413 7302340.516198517, 1061246.181539398 7302376.027604997, 1061436.188730736 7302323.365793012, 1061908.76275878 7302162.710497398, 1062085.160187934 7302221.67751101, 1062235.235544416 7302373.43874942, 1062310.050154275 7302575.757589656, 1062320.359703011 7302773.62473479, 1062444.898148148 7302846.944909815, 1062745.250383177 7302856.776152812, 1063053.988205759 7302990.673095355, 1063382.181744496 7303275.309251094, 1063517.056303344 7303587.344619116, 1063611.93873205 7303728.330038475, 1063733.483570381 7303858.247038193, 1063850.078012991 7303930.075157166, 1064314.278108862 7304062.01130225, 1064462.316554596 7304140.045100219, 1064596.459301644 7304288.780554802, 1064741.391978253 7304382.540095756, 1064980.686584339 7304494.866970663, 1065267.00999758 7304575.66984158, 1065514.404766031 7304771.224938301, 1065897.478764568 7305148.535435386, 1066140.260764102 7305408.500920945, 1066289.75218136 7305478.762376089, 1066681.492236264 7305645.784675222, 1066818.558369894 7305778.88661701, 1067125.43554142 7305961.860106256, 1067244.783565965 7305936.486915417, 1067474.582813838 7306096.109495046, 1067737.155856949 7306172.505716433, 1067797.020593117 7306241.445847671, 1067834.952167347 7306338.682181843, 1067949.737192244 7306377.703336377, 1068125.740725308 7306396.223559066, 1068408.492975601 7306370.622758578, 1068659.814254724 7306338.831587492, 1068725.884731539 7306376.390008555, 1068866.192509883 7306616.300113366, 1068874.365694829 7306781.078337524, 1068895.141055714 7306964.645244123, 1068977.057921089 7307086.929727403, 1069156.438651793 7307253.007430841, 1069276.276370438 7307513.310037071, 1069352.140419519 7307789.342797946, 1069506.39845467 7307999.378297771, 1069698.345487362 7308225.059049165, 1069836.541704262 7308228.041393255, 1069968.505887211 7308262.420169977, 1070169.814604367 7308481.836207449, 1070338.178237933 7308743.631236184, 1070588.101280447 7308964.581407963, 1070811.172729262 7309074.221379454, 1070889.77884743 7309171.404894611, 1071069.248179796 7309663.722130941, 1071099.243655059 7309840.892314875, 1071123.057201675 7310130.943529384, 1071200.093859467 7310276.714018119, 1071339.840868336 7310353.48803203, 1071583.177188285 7310442.761501416, 1071760.558051134 7310494.455184205, 1072035.424728578 7310875.348205137, 1072344.700467227 7311165.331087956, 1072405.985288341 7311389.474416159, 1072399.751237125 7311502.320062879, 1072456.321031551 7311749.946706069, 1072528.576450986 7312041.441891151, 1072530.17839733 7312155.833257904, 1072425.254151432 7312762.166039999, 1072336.837088138 7313146.897327664, 1072282.720856097 7313393.421568342, 1072292.17453589 7313590.772056724, 1072348.644189105 7313716.080895801, 1072491.34019515 7313858.630919931, 1072571.825443702 7313998.247834474, 1072614.314631474 7314071.514611715, 1072656.653060957 7314095.314803841, 1072690.648521324 7314143.876503164, 1072706.834717033 7315334.538129847, 1072905.095695591 7315944.134180276, 1072821.893911603 7316928.330765557, 1073304.867082685 7319107.349467164, 1073056.856529437 7320504.473423392, 1073066.597483999 7322358.799947034, 1073202.049817429 7323060.094125993, 1073423.289589958 7323819.123232201, 1073612.642412742 7325018.016504101, 1073863.632698881 7325425.667990923, 1074238.21911199 7326710.142740219, 1074856.248976225 7327751.502880117, 1074973.800288994 7328334.824110868, 1075742.338030426 7329430.862958652, 1075677.225627517 7329952.695315224, 1075513.047210603 7330843.330508063, 1075802.308790145 7331817.481684028, 1076733.104768073 7333423.822492967, 1077369.118343223 7334322.399802097, 1079008.045018506 7336736.805056465, 1079506.856967188 7337704.538665286, 1079727.470562123 7339593.746642283, 1081045.471587797 7341020.755500732)",137671.26536031737,Austurland
57,25746600,,10913.823370572896,0,"LINESTRING (994420.9571894578 7122701.033790343, 994392.5455056597 7122640.42011174, 994452.3458196598 7122529.801861702, 994589.8131084206 7122397.557390551, 994675.739849491 7122249.048327501, 994731.1807024463 7122165.771253622, 994861.6422215294 7122052.42444932, 994987.2406585638 7121844.131413814, 995100.0930292873 7121577.693664773, 995181.6838315974 7121456.499303075, 995293.4030231433 7121310.077055405, 995336.7363067742 7121164.718414412, 995209.5410262815 7120994.058064186, 995223.2016204754 7120795.834340186, 995258.4550326286 7120562.978368073, 995265.8493724267 7120353.701191352, 995203.482594508 7120091.158553843, 995234.057312417 7119937.679127597, 995375.9564710752 7119765.925855531, 995432.0314598427 7119478.177754731, 995503.2960604739 7119120.635141005, 995703.2335622641 7118749.556690529, 995873.5396380124 7118475.983286415, 995962.4755422423 7118121.144599085, 996077.3668593235 7117842.642207136, 996104.9959113129 7117582.247282831, 996166.4597517733 7117210.876400756, 996266.1603106766 7116751.249366679, 996230.2041262018 7116297.943691744, 996230.8288516054 7115804.259050388, 996207.077353575 7115425.059923841, 996222.9787999855 7114684.70026894, 996215.0155605685 7114231.575434595, 996137.9474574635 7113606.648851277, 996132.5266669868 7113149.773767243, 996130.4898943905 7112759.688396436, 995963.1404849796 7112459.68402286, 995923.663864914 7112435.366134174)",11608.069372000144,Austurland
58,25746602,,2856.5373393923765,0,"LINESTRING (997296.610667719 7114624.999493744, 997285.8723902387 7114474.903626263, 997262.9647344156 7114291.93349718, 997310.3369890512 7114077.835825179, 997297.870673409 7113788.915716358, 997189.5052430831 7113425.910178828, 997021.9018902779 7113167.525803688, 996831.8510208215 7112885.993578462, 996611.5944335542 7112690.945311314, 996409.5674411348 7112606.460063265, 996341.1722057629 7112605.305221556, 995963.1404849796 7112459.68402286)",2856.5373393923765,Austurland
59,25746604,,3048.043026676528,0,"LINESTRING (985473.694165257 7139231.821374869, 985645.0303400439 7139217.030212281, 985714.3185139818 7139188.645112716, 985813.6259796036 7139147.244941018, 985903.6173486009 7138979.993501556, 985953.4101905874 7138914.25713006, 986018.1543558324 7138762.044502323, 986100.7211616409 7138617.709447999, 986114.5625523017 7138546.275233193, 986148.0508602862 7138479.227893465, 986202.8815475747 7138397.770937149, 986267.3730127775 7138311.495640459, 986285.5902411781 7138293.163391392, 986322.1450367442 7138264.834439298, 986412.8169526947 7138197.232388089, 986541.5697617952 7138057.362276365, 986646.7761589405 7137961.153692873, 986754.6802733784 7137911.935704069, 986841.2999601539 7137902.470760364, 987037.1312296344 7137675.873969683, 987044.8390482171 7137594.653298821, 987060.5036496292 7137510.982004553, 987125.2172650917 7137448.287557743, 987219.7125785727 7137254.440961664, 987268.5609659676 7137068.556920124, 987281.8860376161 7137022.284934377)",3048.043026676528,Austurland
60,25746605,,4330.037465830641,0,"LINESTRING (987281.8860376161 7137022.284934377, 987386.3396582161 7136997.642438604, 987450.7647551335 7136940.90303535, 987550.3489343156 7136857.558419238, 987605.2542283841 7136787.724659774, 987658.3857942803 7136704.733163417, 987659.8097103119 7136622.560009656, 987688.1862500403 7136475.965199952, 987699.2615894426 7136296.663492608, 987691.2863286518 7136201.005730819, 987740.6671865871 7136072.066862884, 987783.0238788381 7135926.59131979, 987792.2999431891 7135795.128738044, 987756.5009498366 7135436.865260707, 987717.4007612432 7135367.074477043, 987697.3533571989 7135213.60692856, 987736.0167757538 7135152.285116355, 987805.7509918257 7135174.90420932, 987850.4205329464 7135197.398005373, 987918.662026758 7135229.424001633, 987969.5901884886 7135212.448183405, 988008.2777614923 7135114.52688295, 988068.931560332 7134865.904756802, 988087.6586285449 7134662.661483714, 988205.2311471372 7134164.733954335, 988224.6895898839 7133896.010665331, 988228.0789656455 7133424.207236668, 988096.93088994 7133344.914302806)",4330.037465830641,Austurland
61,25746606,,4142.699367967085,0,"LINESTRING (987281.8860376161 7137022.284934377, 987248.3567705427 7136941.012315357, 987253.8318587686 7136816.994386584, 987246.7882970271 7136698.721123731, 987212.2069929421 7136591.518819301, 987180.2885945596 7136426.806174816, 987095.7962917424 7136260.194659797, 986983.8963614183 7136071.21187186, 986939.2899740428 7135994.608573925, 986896.8063607339 7135871.985662776, 986904.9162486498 7135690.399693572, 986933.8934908819 7135474.75532661, 986914.9106966823 7135333.937153091, 986999.8428640825 7135123.256479544, 987047.2773560395 7135035.448668589, 987147.0428452771 7134894.078351597, 987207.2565543 7134855.953005376, 987259.6636218512 7134785.668737911, 987343.8789547645 7134661.154193979, 987352.7339697895 7134466.728550905, 987440.8749041215 7134309.321234219, 987566.9857672057 7134156.627814978, 987674.138065719 7134066.651910072, 987685.9404934717 7134024.709603189, 987768.9856155128 7133932.195049687, 987823.8745615927 7133854.546372144, 987870.6280533595 7133730.506478463, 987933.2172071015 7133620.574470758, 988023.3990453705 7133450.55323448, 988096.93088994 7133344.914302806)",4142.699367967085,Austurland
62,25746607,,25083.12678686369,0,"LINESTRING (988096.93088994 7133344.914302806, 988084.7578627206 7133146.969720167, 988053.7306582539 7132879.798464479, 987927.2810971413 7132715.132046163, 987852.3691406145 7132566.341614416, 987646.3177351949 7132386.641269655, 987504.4775936489 7132220.220470183, 987332.3049631246 7131607.447236721, 987272.0983300561 7131228.314566167, 987095.8566846851 7130792.390253049, 986918.3336592291 7130485.876942761, 986722.247891919 7130114.008848661, 986604.6424473447 7129792.923637301, 986598.6441778399 7129556.660887485, 986627.5101265736 7129465.161551731, 986657.2639251447 7129390.773086296, 986693.0977525197 7129333.47770596, 986793.3334151874 7129237.550107387, 986894.2222188297 7129127.562604786, 987048.1082301862 7128931.506785398, 987130.3888839581 7128769.765184762, 987249.9844947264 7128571.421909315, 987346.7046030129 7128507.975409155, 987442.9437752033 7128477.526717713, 987554.345427566 7128344.185571923, 987617.4511495755 7128151.733470106, 987617.6009079076 7127923.196422029, 987609.3677264357 7127830.475877064, 987545.3953091295 7127738.73593295, 987479.2303881077 7127640.112163967, 987362.5014306334 7127406.154276978, 987336.0953203922 7127179.924116055, 987424.374804965 7126952.18322631, 987639.4516209809 7126646.453409083, 987872.8846125656 7126431.803606706, 988104.8379791321 7126164.635991853, 988271.8113867993 7125874.102003942, 988453.0973565893 7125576.00268195, 988544.8513729161 7125244.104912073, 988811.5527284847 7124985.604647102, 988914.7990757495 7124498.545560633, 988948.291682224 7124121.337205281, 989043.1393542001 7123770.151844879, 989068.3838213353 7123548.51776902, 989063.7020235297 7123246.917684594, 988962.6684555339 7122871.17645249, 988846.6323100817 7122548.649897684, 988629.1344974858 7122121.73748113, 988574.5859992161 7121782.69947706, 988540.1671922802 7121052.671656895, 988502.5015105414 7119784.365909377, 988643.9759215708 7117939.423233349, 988865.9717128827 7116503.654661933, 989609.1549190274 7115549.851744083, 989779.8998949442 7114110.528275264, 989614.8690229969 7112829.171593633, 988799.9212714767 7112263.42013611, 988354.3420584326 7111233.83827836, 988553.4278996608 7110560.371351241)",25610.357894213674,Austurland
