Number,English name,NAME_1,Population,Area (km2),Population density
1,Capital Region,Höfuðborgarsvæði,"233,034","1,062",214.91
2,Southern Peninsula,Suðurnes,"27,829",829,32.71
3,Western Region,Vesturland,"16,662","9,554",1.73
4,Westfjords,Vestfirðir,"7,115","9,409",0.75
5,Northwestern Region,Norðurland vestra,"7,322","12,737",0.57
6,Northeastern Region,Hálshreppur,"30,600","21,968",1.39
7,Eastern Region,Austurland,"13,173","22,721",0.57
8,Southern Region,Suðurland,"28,399","24,526",1.11
